iter	Passed	Remaining
0	2	2110
1	3	1802
2	4	1491
3	5	1291
4	5	1182
5	6	1088
6	7	1041
7	7	990
8	8	950
9	9	928
10	10	902
11	10	874
12	11	859
13	11	842
14	12	833
15	13	820
16	13	808
17	14	797
18	15	786
19	16	791
20	16	790
21	17	793
22	18	795
23	19	797
24	20	792
25	20	785
26	21	777
27	22	772
28	22	767
29	23	764
30	24	758
31	24	754
32	25	748
33	26	745
34	26	740
35	27	737
36	28	733
37	28	728
38	29	723
39	30	720
40	30	716
41	31	712
42	32	716
43	33	718
44	33	716
45	34	716
46	35	713
47	35	705
48	36	701
49	36	699
50	37	694
51	37	690
52	38	688
53	39	686
54	39	684
55	40	683
56	41	681
57	41	678
58	42	685
59	43	683
60	44	680
61	44	678
62	45	676
63	46	674
64	46	673
65	47	672
66	48	675
67	49	678
68	50	680
69	51	679
70	51	677
71	52	674
72	53	673
73	53	670
74	54	668
75	54	665
76	55	663
77	56	662
78	56	661
79	57	659
80	58	658
81	58	657
82	59	655
83	59	653
84	60	652
85	61	649
86	61	648
87	62	645
88	62	644
89	63	642
90	64	641
91	64	640
92	65	638
93	66	636
94	66	635
95	67	633
96	67	632
97	68	630
98	69	628
99	69	627
100	70	625
101	70	623
102	71	621
103	71	619
104	72	617
105	73	616
106	73	614
107	74	612
108	74	610
109	75	608
110	75	607
111	76	604
112	76	604
113	77	603
114	78	602
115	78	600
116	79	598
117	80	598
118	80	596
119	81	595
120	81	594
121	82	594
122	83	593
123	83	592
124	84	591
125	85	590
126	85	589
127	86	587
128	86	586
129	87	585
130	87	583
131	88	582
132	89	581
133	89	579
134	90	578
135	90	577
136	91	575
137	92	574
138	92	573
139	93	572
140	93	571
141	94	569
142	94	569
143	95	568
144	96	568
145	96	566
146	97	565
147	98	564
148	98	563
149	99	562
150	99	560
151	100	559
152	100	558
153	101	556
154	101	555
155	102	554
156	103	553
157	103	552
158	104	550
159	104	549
160	105	549
161	105	548
162	106	547
163	107	546
164	107	545
165	108	544
166	108	543
167	109	542
168	110	541
169	110	540
170	111	539
171	111	538
172	112	538
173	113	537
174	113	537
175	114	536
176	115	535
177	115	534
178	116	533
179	116	532
180	117	531
181	118	530
182	118	529
183	119	528
184	119	527
185	120	526
186	120	525
187	121	524
188	122	523
189	122	522
190	123	521
191	123	520
192	124	519
193	124	519
194	125	517
195	126	516
196	126	515
197	127	514
198	127	513
199	128	512
200	128	512
201	129	510
202	129	509
203	130	509
204	131	508
205	131	507
206	132	506
207	132	504
208	132	503
209	133	501
210	133	500
211	134	499
212	135	499
213	135	498
214	136	497
215	136	496
216	137	495
217	137	494
218	138	493
219	139	493
220	139	492
221	140	491
222	140	490
223	141	489
224	141	489
225	142	488
226	142	486
227	143	486
228	144	485
229	144	484
230	145	484
231	146	483
232	146	482
233	147	481
234	147	481
235	148	480
236	148	479
237	149	478
238	149	477
239	150	476
240	151	476
241	151	475
242	152	474
243	152	473
244	153	472
245	153	471
246	154	470
247	155	470
248	155	469
249	156	468
250	156	467
251	157	467
252	158	466
253	158	465
254	159	464
255	159	463
256	160	463
257	160	462
258	161	461
259	162	461
260	162	460
261	163	460
262	163	459
263	164	458
264	165	457
265	165	457
266	166	456
267	166	455
268	167	455
269	167	454
270	168	452
271	168	452
272	169	451
273	170	452
274	171	451
275	171	450
276	172	450
277	173	449
278	173	448
279	174	448
280	174	447
281	175	446
282	176	446
283	176	445
284	177	444
285	177	443
286	178	443
287	179	442
288	179	441
289	180	441
290	180	440
291	181	439
292	182	440
293	183	440
294	183	439
295	184	438
296	185	438
297	185	437
298	186	436
299	187	436
300	187	435
301	188	435
302	188	434
303	189	433
304	190	433
305	190	432
306	191	431
307	191	430
308	192	430
309	193	431
310	194	431
311	195	430
312	195	430
313	196	429
314	197	429
315	198	429
316	198	428
317	199	427
318	200	427
319	200	426
320	201	425
321	201	424
322	202	423
323	202	423
324	203	422
325	204	422
326	204	421
327	205	420
328	206	420
329	206	419
330	207	418
331	207	417
332	208	416
333	208	416
334	209	415
335	210	415
336	211	415
337	211	415
338	212	414
339	213	414
340	213	413
341	214	412
342	214	411
343	215	410
344	216	410
345	216	409
346	217	408
347	217	407
348	218	406
349	218	406
350	219	405
351	219	404
352	220	403
353	220	403
354	221	402
355	222	401
356	222	400
357	223	400
358	223	399
359	224	398
360	225	398
361	225	397
362	226	397
363	227	396
364	227	396
365	228	395
366	229	395
367	229	394
368	230	393
369	231	393
370	231	392
371	232	391
372	232	391
373	233	390
374	233	389
375	234	388
376	234	388
377	235	387
378	236	386
379	236	385
380	237	385
381	237	384
382	238	383
383	238	383
384	239	382
385	239	381
386	240	381
387	241	380
388	241	379
389	242	379
390	243	378
391	243	377
392	244	377
393	245	377
394	245	376
395	246	375
396	247	375
397	247	374
398	248	373
399	248	373
400	249	372
401	249	371
402	250	370
403	250	369
404	252	370
405	252	369
406	253	368
407	253	368
408	254	367
409	254	366
410	255	366
411	255	365
412	256	364
413	257	364
414	258	363
415	258	362
416	259	362
417	259	361
418	260	361
419	260	360
420	261	359
421	261	358
422	262	357
423	262	357
424	263	356
425	264	355
426	264	355
427	265	354
428	265	353
429	266	352
430	266	352
431	267	351
432	267	350
433	268	350
434	269	349
435	269	348
436	269	347
437	270	347
438	271	346
439	271	345
440	272	345
441	272	344
442	272	343
443	273	342
444	274	341
445	274	341
446	275	340
447	275	339
448	276	339
449	276	338
450	277	337
451	277	336
452	278	336
453	279	335
454	279	334
455	280	334
456	280	333
457	281	332
458	282	332
459	282	331
460	282	330
461	283	330
462	283	329
463	284	328
464	285	328
465	285	327
466	286	326
467	286	326
468	287	325
469	287	324
470	288	323
471	289	323
472	289	322
473	290	322
474	290	321
475	291	320
476	291	319
477	292	319
478	292	318
479	293	317
480	293	317
481	294	316
482	294	315
483	295	315
484	296	314
485	296	313
486	297	313
487	297	312
488	298	311
489	298	311
490	299	310
491	300	309
492	300	309
493	301	308
494	301	307
495	302	307
496	302	306
497	303	305
498	304	305
499	304	304
500	305	304
501	306	303
502	306	302
503	307	302
504	307	301
505	308	301
506	309	300
507	309	299
508	310	299
509	310	298
510	311	297
511	311	297
512	312	296
513	313	295
514	313	295
515	314	294
516	314	293
517	315	293
518	315	292
519	316	292
520	317	291
521	317	290
522	318	290
523	318	289
524	319	288
525	319	288
526	320	287
527	321	287
528	321	286
529	322	285
530	322	285
531	323	284
532	323	283
533	324	283
534	325	282
535	325	281
536	326	281
537	326	280
538	327	279
539	327	279
540	328	278
541	329	278
542	329	277
543	330	276
544	330	276
545	331	275
546	332	274
547	332	274
548	333	273
549	333	273
550	334	272
551	335	271
552	335	271
553	336	270
554	336	269
555	337	269
556	337	268
557	338	268
558	338	267
559	339	266
560	340	266
561	340	265
562	341	264
563	341	264
564	342	263
565	343	263
566	343	262
567	344	261
568	345	261
569	345	260
570	346	260
571	346	259
572	347	258
573	347	258
574	348	257
575	349	256
576	349	256
577	350	255
578	350	255
579	351	254
580	351	253
581	352	253
582	353	252
583	353	251
584	354	251
585	355	250
586	355	250
587	356	249
588	356	248
589	357	248
590	357	247
591	358	246
592	358	246
593	359	245
594	360	245
595	360	244
596	361	243
597	361	243
598	362	242
599	362	241
600	363	241
601	364	240
602	364	240
603	365	239
604	366	238
605	366	238
606	367	237
607	367	237
608	368	236
609	368	235
610	369	235
611	369	234
612	370	233
613	371	233
614	371	232
615	372	231
616	372	231
617	373	230
618	373	230
619	374	229
620	374	228
621	375	228
622	376	227
623	376	227
624	377	226
625	378	225
626	378	225
627	379	224
628	379	223
629	380	223
630	380	222
631	381	222
632	381	221
633	382	220
634	382	220
635	383	219
636	384	218
637	384	218
638	385	217
639	385	217
640	386	216
641	387	215
642	387	215
643	388	214
644	389	214
645	389	213
646	390	212
647	390	212
648	391	211
649	391	211
650	392	210
651	393	209
652	393	209
653	394	208
654	394	207
655	395	207
656	395	206
657	396	206
658	397	205
659	397	204
660	398	204
661	398	203
662	399	202
663	399	202
664	400	201
665	401	201
666	401	200
667	402	200
668	403	199
669	403	198
670	404	198
671	404	197
672	405	196
673	406	196
674	406	195
675	407	195
676	407	194
677	408	193
678	408	193
679	409	192
680	410	192
681	410	191
682	411	190
683	411	190
684	412	189
685	412	188
686	413	188
687	414	187
688	414	187
689	415	186
690	415	185
691	416	185
692	416	184
693	417	184
694	418	183
695	419	183
696	419	182
697	420	181
698	420	181
699	421	180
700	421	179
701	422	179
702	423	178
703	423	178
704	424	177
705	424	176
706	425	176
707	426	175
708	426	175
709	427	174
710	427	173
711	428	173
712	429	172
713	430	172
714	430	171
715	431	171
716	431	170
717	432	169
718	432	169
719	433	168
720	434	168
721	434	167
722	435	166
723	435	166
724	436	165
725	437	164
726	437	164
727	438	163
728	438	163
729	439	162
730	440	161
731	440	161
732	441	160
733	441	160
734	442	159
735	443	158
736	443	158
737	444	157
738	444	157
739	445	156
740	445	155
741	446	155
742	446	154
743	447	153
744	448	153
745	448	152
746	449	152
747	449	151
748	450	150
749	451	150
750	451	149
751	452	149
752	452	148
753	453	147
754	453	147
755	454	146
756	455	146
757	455	145
758	456	144
759	456	144
760	457	143
761	457	142
762	458	142
763	458	141
764	459	141
765	459	140
766	460	139
767	461	139
768	461	138
769	462	138
770	462	137
771	463	136
772	463	136
773	464	135
774	465	135
775	465	134
776	466	133
777	466	133
778	467	132
779	467	131
780	468	131
781	469	130
782	469	130
783	470	129
784	470	128
785	471	128
786	471	127
787	472	127
788	473	126
789	473	125
790	474	125
791	474	124
792	475	124
793	475	123
794	476	122
795	477	122
796	477	121
797	478	121
798	478	120
799	479	119
800	480	119
801	480	118
802	481	118
803	481	117
804	482	116
805	483	116
806	483	115
807	484	115
808	484	114
809	485	113
810	485	113
811	486	112
812	486	112
813	487	111
814	488	110
815	488	110
816	489	109
817	489	108
818	490	108
819	490	107
820	491	107
821	492	106
822	492	105
823	493	105
824	493	104
825	494	104
826	494	103
827	495	102
828	496	102
829	496	101
830	497	101
831	497	100
832	498	99
833	499	99
834	499	98
835	500	98
836	500	97
837	501	96
838	501	96
839	502	95
840	503	95
841	503	94
842	504	93
843	504	93
844	505	92
845	506	92
846	506	91
847	507	90
848	507	90
849	508	89
850	508	89
851	509	88
852	509	87
853	510	87
854	511	86
855	511	86
856	512	85
857	512	84
858	513	84
859	514	83
860	514	83
861	515	82
862	516	81
863	516	81
864	517	80
865	517	80
866	518	79
867	519	78
868	519	78
869	520	77
870	520	77
871	521	76
872	521	75
873	522	75
874	523	74
875	523	74
876	524	73
877	524	72
878	525	72
879	525	71
880	526	71
881	526	70
882	527	69
883	527	69
884	528	68
885	529	68
886	529	67
887	530	66
888	530	66
889	531	65
890	531	65
891	532	64
892	533	63
893	533	63
894	534	62
895	534	62
896	535	61
897	536	60
898	536	60
899	537	59
900	538	59
901	538	58
902	539	57
903	539	57
904	540	56
905	541	56
906	541	55
907	542	54
908	542	54
909	543	53
910	544	53
911	544	52
912	545	51
913	546	51
914	546	50
915	547	50
916	548	49
917	548	49
918	549	48
919	549	47
920	550	47
921	550	46
922	551	46
923	552	45
924	552	44
925	553	44
926	553	43
927	554	42
928	554	42
929	555	41
930	555	41
931	556	40
932	557	40
933	557	39
934	558	38
935	558	38
936	559	37
937	559	37
938	560	36
939	560	35
940	561	35
941	562	34
942	562	34
943	563	33
944	563	32
945	564	32
946	564	31
947	565	31
948	566	30
949	566	29
950	567	29
951	567	28
952	568	28
953	568	27
954	569	26
955	570	26
956	570	25
957	571	25
958	571	24
959	572	23
960	573	23
961	573	22
962	574	22
963	574	21
964	575	20
965	575	20
966	576	19
967	576	19
968	577	18
969	578	17
970	578	17
971	579	16
972	579	16
973	580	15
974	581	14
975	582	14
976	582	13
977	583	13
978	583	12
979	584	11
980	584	11
981	585	10
982	586	10
983	586	9
984	587	8
985	587	8
986	588	7
987	588	7
988	589	6
989	589	5
990	590	5
991	591	4
992	591	4
993	592	3
994	592	2
995	593	2
996	593	1
997	594	1
998	595	0
999	595	0
