iter	RMSE
0	1883950.181
1	1839827.854
2	1808674.317
3	1767629.31
4	1731818.687
5	1696734.979
6	1652212.671
7	1613572.987
8	1576156.828
9	1543782.365
10	1511192.616
11	1477717.16
12	1447379.742
13	1419725.467
14	1391415.023
15	1361821.944
16	1327039.769
17	1295213.183
18	1274968.238
19	1246218.522
20	1222211.153
21	1197519.857
22	1177110.559
23	1159338.243
24	1139655.336
25	1120191.964
26	1100798.866
27	1076981.406
28	1051308.519
29	1026507.03
30	1004467.787
31	985435.7318
32	966183.3089
33	948918.3911
34	928773.2378
35	910144.4185
36	888643.7642
37	867501.1838
38	846371.5791
39	828438.5403
40	808884.2576
41	790761.0876
42	774958.3299
43	755755.5716
44	741701.3895
45	730867.4404
46	718000.0677
47	705005.6322
48	689700.7729
49	679402.5197
50	669954.7636
51	657542.9433
52	645370.4783
53	635773.3097
54	623494.807
55	613734.769
56	602107.5415
57	590201.4067
58	581045.2362
59	574430.9892
60	565409.6181
61	553585.925
62	539709.1195
63	529463.1746
64	522426.5847
65	513087.4973
66	503339.6641
67	497580.8375
68	491170.5994
69	480286.8021
70	471392.1965
71	462507.1375
72	454029.1486
73	446890.1196
74	439168.3124
75	429802.4926
76	421512.6091
77	415389.5141
78	407255.1107
79	399607.4121
80	393069.0542
81	386430.085
82	379493.8056
83	372563.1154
84	365741.7193
85	359005.5586
86	353611.9822
87	348940.0713
88	343782.6451
89	337149.1809
90	331762.21
91	326683.7714
92	319746.8134
93	313724.3915
94	306942.1748
95	303566.6521
96	298661.9996
97	293251.4774
98	289571.0331
99	284236.6092
100	280771.4014
101	275861.7079
102	271751.5277
103	268648.6046
104	265558.7682
105	261054.2279
106	256152.1235
107	251230.8876
108	249000.774
109	246678.8058
110	244157.8148
111	241465.9747
112	237784.0396
113	235440.9182
114	230644.3145
115	226839.1169
116	224665.0794
117	220882.6005
118	217966.1788
119	214609.7681
120	211660.642
121	209312.8671
122	206761.4422
123	204058.4348
124	202132.3287
125	200412.6437
126	197970.2329
127	195068.7533
128	193685.5407
129	191466.9589
130	188040.8472
131	185367.6521
132	183456.6856
133	180697.7282
134	178749.2929
135	176179.7217
136	174666.601
137	172866.9659
138	170113.9688
139	168209.2523
140	166916.1478
141	164795.6399
142	163462.4929
143	161882.8946
144	160446.6673
145	159063.141
146	156258.5634
147	153924.4339
148	151584.7239
149	149711.1557
150	147882.6514
151	146267.3671
152	145136.182
153	143242.3208
154	141723.4581
155	140610.0254
156	139155.3956
157	137273.1359
158	135685.5532
159	134037.7132
160	133158.8591
161	131736.6863
162	130382.4725
163	128901.2884
164	127894.6808
165	126414.7347
166	125311.6662
167	124342.9716
168	122826.2202
169	121537.5339
170	120136.6864
171	119187.1132
172	118070.0327
173	116919.253
174	116119.5172
175	114901.0339
176	113646.8216
177	112493.1658
178	111693.0187
179	110805.7086
180	109499.8414
181	108573.5049
182	107392.2051
183	106503.6858
184	105328.0873
185	104411.7695
186	103827.7097
187	102664.0168
188	102033.9215
189	101419.9894
190	100491.4244
191	99653.18726
192	99030.45948
193	98245.36395
194	97824.19263
195	96744.67939
196	95641.25816
197	94972.50946
198	94205.96676
199	93582.60368
200	92958.84266
201	92506.27742
202	91972.68271
203	90807.21064
204	90371.52241
205	89847.93143
206	89365.73966
207	89019.80131
208	87984.1881
209	87548.44169
210	86488.28705
211	86055.08551
212	85583.97784
213	84701.58251
214	84174.9893
215	83149.04152
216	82272.24049
217	81750.96504
218	81324.78899
219	80881.48749
220	80234.76422
221	79478.38645
222	79058.34151
223	78678.80866
224	78112.28599
225	77706.71433
226	77328.69763
227	76921.51879
228	76521.85115
229	76210.02904
230	75874.61366
231	75537.58592
232	75240.66297
233	74955.06826
234	74100.3696
235	73781.41472
236	73503.39689
237	72665.41279
238	72384.27242
239	72071.53816
240	71262.19708
241	70541.71401
242	69791.23997
243	69503.04419
244	69212.69924
245	68897.07133
246	68632.32747
247	68319.76071
248	68050.42749
249	67784.92963
250	67129.85625
251	66449.08934
252	66189.1732
253	65911.20797
254	65659.80261
255	64954.72658
256	64733.59758
257	64520.23196
258	64311.41719
259	64083.21657
260	63409.09295
261	63177.90406
262	62983.91424
263	62357.07287
264	62144.68011
265	61947.33954
266	61708.86186
267	61430.11323
268	60803.3771
269	60604.43756
270	60034.58467
271	59850.90018
272	59674.76561
273	59078.40363
274	58482.44383
275	58307.84592
276	58141.48754
277	57975.94446
278	57799.26228
279	57563.84721
280	56981.72249
281	56755.82359
282	56572.55439
283	56023.72114
284	55866.13252
285	55670.39116
286	55511.2512
287	55365.17989
288	55174.83249
289	54648.59433
290	54468.31004
291	54286.99744
292	53908.57266
293	53674.52791
294	53459.26626
295	52940.33661
296	52805.84447
297	52608.87001
298	52135.65863
299	51930.78545
300	51667.84944
301	51547.74009
302	51365.24417
303	51112.79863
304	51003.36306
305	50536.34883
306	50361.59644
307	50233.18753
308	50023.03455
309	49914.03991
310	49535.5193
311	49401.69787
312	49294.13203
313	49176.86705
