iter	Passed	Remaining
0	0	835
1	1	718
2	2	784
3	3	788
4	3	755
5	4	732
6	5	723
7	5	715
8	6	698
9	7	693
10	7	680
11	8	667
12	8	657
13	9	648
14	9	644
15	10	644
16	11	640
17	11	638
18	12	634
19	13	642
20	13	640
21	14	644
22	15	652
23	16	654
24	17	667
25	17	669
26	18	669
27	19	666
28	19	665
29	20	673
30	21	684
31	23	698
32	24	731
33	25	734
34	26	740
35	27	740
36	28	741
37	29	739
38	30	739
39	30	740
40	31	741
41	32	748
42	33	751
43	34	750
44	35	763
45	38	792
46	39	798
47	40	797
48	41	803
49	42	811
50	44	819
51	44	816
52	45	810
53	45	803
54	46	797
55	47	792
56	47	788
57	48	795
58	49	796
59	50	797
60	51	795
61	52	795
62	53	791
63	53	787
64	54	784
65	55	782
66	55	779
67	56	775
68	57	771
69	57	766
70	58	763
71	58	759
72	59	755
73	60	750
74	60	746
75	61	743
76	61	739
77	62	736
78	62	732
79	63	728
80	64	726
81	64	727
82	65	728
83	66	725
84	67	724
85	67	722
86	68	719
87	69	716
88	69	714
89	70	711
90	70	708
91	71	706
92	72	702
93	72	699
94	73	696
95	73	694
96	74	691
97	74	689
98	75	686
99	76	690
100	77	688
101	78	687
102	78	685
103	79	682
104	79	681
105	80	680
106	81	680
107	82	679
108	82	677
109	83	675
110	84	672
111	84	670
112	85	667
113	85	665
114	86	664
115	86	662
116	87	659
117	87	657
118	88	655
119	89	653
120	89	651
121	90	649
122	90	647
123	91	645
124	91	643
125	92	642
126	93	640
127	93	639
128	94	637
129	94	635
130	95	633
131	96	632
132	97	633
133	97	632
134	98	631
135	99	630
136	99	629
137	100	628
138	101	627
139	101	625
140	102	624
141	103	623
142	103	621
143	104	620
144	104	618
145	105	617
146	106	619
147	107	617
148	108	619
149	109	618
150	110	620
151	110	618
152	111	617
153	112	615
154	112	614
155	113	612
156	113	611
157	114	610
158	115	608
159	115	607
160	116	605
161	116	604
162	117	602
163	117	600
164	118	599
165	119	598
166	119	597
167	120	596
168	120	594
169	121	594
170	122	593
171	123	592
172	123	591
173	124	590
174	125	590
175	125	588
176	126	587
177	127	586
178	127	585
179	128	585
180	129	585
181	130	585
182	131	584
183	131	583
184	132	582
185	132	580
186	133	579
187	133	578
188	134	577
189	135	576
190	135	574
191	136	575
192	137	574
193	137	572
194	138	571
195	139	570
196	139	568
197	140	567
198	141	569
199	142	568
200	142	566
201	143	565
202	144	565
203	144	564
204	145	564
205	146	564
206	147	563
207	147	561
208	148	560
209	148	559
210	149	560
211	150	559
212	151	558
213	151	556
214	152	555
215	152	554
216	153	553
217	153	552
218	154	551
219	155	550
220	155	549
221	156	548
222	157	549
223	158	547
224	158	546
225	159	544
226	159	543
227	160	542
228	160	541
229	161	540
230	162	539
231	162	538
232	163	537
233	163	536
234	164	534
235	164	533
236	165	532
237	165	531
238	166	529
239	166	528
240	167	527
241	168	526
242	168	525
243	169	524
244	169	523
245	170	522
246	170	521
247	171	520
248	172	519
249	172	518
250	173	519
251	174	518
252	175	516
253	176	517
254	176	517
255	177	516
256	178	516
257	179	515
258	179	514
259	180	513
260	181	512
261	181	512
262	182	510
263	182	510
264	183	509
265	184	508
266	184	507
267	185	506
268	185	505
269	186	504
270	187	503
271	187	503
272	188	502
273	189	502
274	190	501
275	190	500
276	191	500
277	192	500
278	193	499
279	194	499
280	195	498
281	195	498
282	196	497
283	197	497
284	197	496
285	199	498
286	200	498
287	201	497
288	201	496
289	202	495
290	202	494
291	203	493
292	203	492
293	204	491
294	205	490
295	205	488
296	206	487
297	206	486
298	207	486
299	208	485
300	209	485
301	209	485
302	210	484
303	211	483
304	211	482
305	212	481
306	212	480
307	214	481
308	214	480
309	215	479
310	215	478
311	216	477
312	217	477
313	218	476
314	218	475
315	219	474
316	219	473
317	220	472
318	220	471
319	221	470
320	221	469
321	222	467
322	222	466
323	223	465
324	223	465
325	224	464
326	225	463
327	225	462
328	226	461
329	226	460
330	227	459
331	228	459
332	228	457
333	229	456
334	229	455
335	230	454
336	230	453
337	231	452
338	231	451
339	232	450
340	232	450
341	233	449
342	234	448
343	234	447
344	235	447
345	236	446
346	236	445
347	237	444
348	237	443
349	238	443
350	239	442
351	239	441
352	240	440
353	241	439
354	241	439
355	242	438
356	243	438
357	243	437
358	244	436
359	244	435
360	245	434
361	246	433
362	246	432
363	247	432
364	248	431
365	248	430
366	249	430
367	249	429
368	250	428
369	251	428
370	251	426
371	252	426
372	253	425
373	253	424
374	254	424
375	255	423
376	255	422
377	256	421
378	256	420
379	257	419
380	257	419
381	258	418
382	259	417
383	260	417
384	260	416
385	261	416
386	262	416
387	263	415
388	264	415
389	265	414
390	265	413
391	266	413
392	267	412
393	267	411
394	268	411
395	269	410
396	269	409
397	270	409
398	271	409
399	272	408
400	272	407
401	273	406
402	274	406
403	274	405
404	275	404
405	276	403
406	276	403
407	278	403
408	278	403
409	279	402
410	279	401
411	280	400
412	281	399
413	281	398
414	282	397
415	282	397
416	283	396
417	284	395
418	284	394
419	285	393
420	285	392
421	286	391
422	286	391
423	287	390
424	288	389
425	288	389
426	289	388
427	290	387
428	291	387
429	291	386
430	292	385
431	292	384
432	293	384
433	293	383
434	294	382
435	294	381
436	295	380
437	295	379
438	297	379
439	297	378
440	298	377
441	298	377
442	298	375
443	299	375
444	300	374
445	300	373
446	301	372
447	301	371
448	302	370
449	302	370
450	303	369
451	303	368
452	304	367
453	305	367
454	305	366
455	306	365
456	306	364
457	307	364
458	308	363
459	308	362
460	309	361
461	309	360
462	310	359
463	310	359
464	311	358
465	312	357
466	312	356
467	313	356
468	313	355
469	314	354
470	314	353
471	315	353
472	316	352
473	316	351
474	317	350
475	317	349
476	318	348
477	318	347
478	319	347
479	319	346
480	320	345
481	320	344
482	321	344
483	322	343
484	322	342
485	323	341
486	323	341
487	324	340
488	325	339
489	325	338
490	326	338
491	326	337
492	327	336
493	327	335
494	328	335
495	328	334
496	329	333
497	330	332
498	330	332
499	331	331
500	331	330
501	332	329
502	333	329
503	333	328
504	334	327
505	335	327
506	335	326
507	336	325
508	336	324
509	337	324
510	337	323
511	338	322
512	339	321
513	339	321
514	340	320
515	340	319
516	341	318
517	341	318
518	342	317
519	342	316
520	343	315
521	344	315
522	344	314
523	345	313
524	346	313
525	346	312
526	347	311
527	347	311
528	348	310
529	349	309
530	350	309
531	351	309
532	352	308
533	352	307
534	353	307
535	354	306
536	354	305
537	355	305
538	356	304
539	356	303
540	357	303
541	358	302
542	359	302
543	359	301
544	360	300
545	360	299
546	361	299
547	361	298
548	362	297
549	362	296
550	363	296
551	364	295
552	364	294
553	365	294
554	365	293
555	366	292
556	367	292
557	367	291
558	368	290
559	369	290
560	370	290
561	371	289
562	372	288
563	372	288
564	373	287
565	373	286
566	374	285
567	374	285
568	375	284
569	376	283
570	376	283
571	377	282
572	378	281
573	378	281
574	379	280
575	379	279
576	380	278
577	380	278
578	381	277
579	382	276
580	382	276
581	383	275
582	384	274
583	384	274
584	385	273
585	386	272
586	386	272
587	387	271
