iter	RMSE
0	1748328.879
1	1724224.506
2	1704064.572
3	1683424.645
4	1661268.23
5	1642005.936
6	1622109.687
7	1605236.334
8	1586643.052
9	1569565.099
10	1550743.892
11	1536203.109
12	1519409.001
13	1501997.143
14	1487823.296
15	1469586.736
16	1450575.603
17	1438127.067
18	1422576.049
19	1407599.676
20	1393893.952
21	1381398.879
22	1369301.763
23	1357981.748
24	1344060.186
25	1334058.887
26	1317087.126
27	1304784.317
28	1293405.64
29	1282691.939
30	1273311.807
31	1261213.911
32	1249046.24
33	1239073.883
34	1228564.737
35	1219598.51
36	1208547.276
37	1205375.613
38	1196472.538
39	1189271.529
40	1181343.95
41	1175679.702
42	1170347.411
43	1161861.253
44	1154696.14
45	1146066.442
46	1137038.596
47	1129652.819
48	1121899.072
49	1113969.479
50	1106959.626
51	1101303.474
52	1098720.716
53	1090408.832
54	1083839.048
55	1077163.847
56	1070856.252
57	1066601.669
58	1061559.325
59	1054952.969
60	1048216.667
61	1042742.7
62	1034383.07
63	1032210.227
64	1026183.641
65	1023074.559
66	1019875.488
67	1014728.274
68	1011463.172
69	1005366.7
70	999344.4571
71	996152.1921
72	990749.1958
73	984006.4327
74	982447.4359
75	974462.5102
76	967531.3283
77	965174.7563
78	958912.0143
79	957259.3431
80	955815.7043
81	953024.7106
82	949627.6286
83	941261.1772
84	934933.5772
85	933867.8148
86	929666.4105
87	925040.6828
88	920238.2246
89	915392.1763
90	913100.0668
91	906521.2078
92	902653.5819
93	899305.2464
94	892185.4002
95	889371.5833
96	885790.5399
97	881826.7698
98	876496.8763
99	873560.3101
100	869767.8012
101	865181.2248
102	857927.7207
103	856448.0597
104	852178.6815
105	850907.5811
106	848198.7616
107	844833.4675
108	842992.7007
109	840133.7533
110	836272.7999
111	832789.2247
112	827748.0223
113	824481.9849
114	822315.3628
115	820888.2626
116	817897.9888
117	815826.7512
118	812365.5005
119	807756.3886
120	806020.554
121	804462.781
122	799256.005
123	795402.5654
124	793176.167
125	790912.0286
126	789480.7269
127	786132.6104
128	784323.6409
129	778717.3028
130	775861.5884
131	773343.4951
132	770258.1858
133	766685.4619
134	764573.0065
135	760334.1202
136	755020.4148
137	750861.6045
138	749230.1643
139	744473.0928
140	740541.4384
141	736953.2708
142	735456.5275
143	731790.1685
144	729475.9095
145	728239.6588
146	725870.3703
147	724420.1662
148	720859.8279
149	719960.5241
150	718523.7029
151	716608.864
152	715725.87
153	714260.0319
154	713183.3013
155	711807.1882
156	708037.0964
157	706212.3109
158	703162.1132
159	699293.164
160	696643.3781
161	695209.9975
162	692637.859
163	691237.7433
164	689681.4968
165	689282.3754
166	687518.3438
167	684557.2503
168	683262.287
169	680105.1098
170	679253.3128
171	678789.2859
172	677981.3145
173	674626.75
174	672533.5098
175	671115.4181
176	670336.1597
177	665003.7774
178	663858.4347
179	662986.2791
180	661589.2847
181	658190.5407
182	654271.7228
183	651763.7003
184	649268.9822
185	648057.3012
186	646945.685
187	643737.6204
188	642319.0279
189	639118.8042
190	637684.6454
191	636119.2456
192	632254.3723
193	631253.4385
194	630222.7179
195	627467.3032
196	625617.907
197	623767.9435
198	622341.5119
199	621589.9696
200	618708.8436
201	617211.9202
202	614120.7485
203	612971.6864
204	612195.99
205	611413.0381
206	610485.8113
207	609571.9614
208	608876.5075
209	607771.5014
210	606282.9705
211	605126.257
212	604012.7327
213	601766.4336
214	599280.6377
215	598529.6948
216	595826.0775
217	593833.6908
218	592637.7979
219	592243.9729
220	591070.8477
221	590533.8449
222	589969.9818
223	587526.3796
224	586138.1738
225	585242.5444
226	584612.4001
227	583712.8538
228	583123.7365
229	581895.4133
230	581258.4953
231	578302.5762
232	574895.8291
233	574278.0725
234	573871.293
235	572063.9724
236	571101.8254
237	570422.4958
238	569084.8509
239	567688.7655
240	567024.4703
241	566600.8163
242	565725.6905
243	565185.3117
244	563352.0143
245	562846.3899
246	559417.6792
247	559063.0363
248	557280.9583
249	555022.1876
250	554622.6341
251	552235.7885
252	551996.6472
253	551588.3526
254	550987.4211
255	549982.1258
256	547670.1785
257	545482.4439
258	544878.6569
259	542694.208
260	540652.5314
261	537061.8728
262	535491.1169
263	535075.5454
264	532160.8518
265	530406.0223
266	526862.5327
267	525046.6804
268	521885.1882
269	520040.4221
270	517500.3218
271	516004.5973
272	514741.6998
273	511565.6877
274	509984.9186
275	507468.3555
276	504800.5695
277	502453.7368
278	501514.312
279	501073.4846
280	499371.6492
281	497636.444
282	496517.5699
283	495094.9498
284	492579.203
285	490219.334
286	487808.2869
287	487039.3294
288	486170.4452
289	485313.5004
290	484485.0962
291	482203.3041
292	481273.1242
293	480428.5018
294	478102.8913
295	476843.2342
296	475180.7404
297	474243.6874
298	473940.4865
299	473037.4478
300	472343.2179
301	469897.5221
302	467253.7486
303	466106.5055
304	464745.3329
305	462793.4475
306	460749.622
307	459316.9566
308	458818.8017
309	457795.5582
310	456728.5725
311	456252.3518
312	454552.9573
313	452608.6109
314	451731.446
315	449786.6235
316	448915.2575
317	447212.447
318	445983.0226
319	445153.4372
320	444966.0014
321	444730.9029
322	444199.1532
323	441875.1558
324	441055.1805
325	440717.8984
326	440517.0459
327	439854.7577
328	439653.164
329	437892.7501
330	435877.1377
331	435637.7795
332	435046.3245
333	433258.4312
334	430730.7646
335	430588.4946
336	428937.9008
337	427395.072
338	425544.5641
339	424188.0686
340	422269.4695
341	422029.5591
342	419476.9841
343	417971.0561
344	416780.3463
345	415211.5471
346	413944.0057
347	413038.0475
348	411334.0813
349	410375.7177
350	408433.8054
351	407005.8692
352	405582.4835
353	403962.2015
354	402255.8419
355	401416.3253
356	400545.3889
357	400203.406
358	399388.425
359	397828.4027
360	396803.7315
361	394880.7115
362	394200.886
363	394070.9949
364	393202.3508
365	392563.9611
366	390893.1024
367	390770.2374
368	389809.3879
369	388769.4095
370	388043.85
371	386422.5496
372	384970.964
373	383552.4852
374	382749.2844
375	382032.0541
376	381056.3552
377	380139.7372
378	379516.0957
379	377975.0386
380	377068.3403
381	375705.9298
382	375037.8897
383	374169.8989
384	373555.4887
385	373430.8729
386	373063.0918
387	372386.4247
388	370642.2848
389	369872.722
390	368907.8543
391	367396.7955
392	367133.21
393	366177.8796
394	364954.3364
395	364121.5097
396	363400.7996
397	362694.21
398	362017.7942
399	360145.7744
400	359934.7282
401	358685.0874
402	358338.9687
403	357222.2159
404	356658.9757
405	355460.4557
406	353713.6991
407	353060.3973
408	351844.7197
409	350668.0741
410	350030.2335
411	349695.4136
412	348363.977
413	347870.7858
414	346745.3393
415	346411.109
416	345762.0303
417	344847.8088
418	344527.309
419	344312.849
420	343655.5981
421	342438.4719
422	341205.1531
423	340025.0024
424	338972.3287
425	338624.1319
426	337987.481
427	336841.0213
428	335774.9017
429	334580.9113
430	333757.8385
431	332219.2571
432	331376.6228
433	330929.1394
434	330240.9451
435	329736.4215
436	328738.173
437	327855.8421
438	327485.3295
439	326883.2932
440	325830.5337
441	325267.09
442	323858.2362
443	323441.6149
444	323023.871
445	322069.8493
446	320727.7356
447	320056.391
448	319768.4286
449	318690.3876
450	317798.0262
451	316990.8785
452	316342.1458
453	315657.218
454	315287.6298
455	314922.9908
456	314137.6699
457	313511.1234
458	312564.3586
459	311406.5463
460	310813.2998
461	309128.1944
462	308688.1079
463	308433.1599
464	307436.7824
465	306846.712
466	305967.4518
467	305712.1574
468	304920.3739
469	304074.7246
470	303449.1314
471	302748.6743
472	302165.9541
473	301336.2423
474	300752.7505
475	299685.0924
476	299288.5926
477	298948.2494
478	297126.3785
479	296347.4262
480	295606.1306
481	295034.5259
482	294114.7817
483	293080.0177
484	292515.5812
485	292296.793
486	291092.6966
487	290593.8584
488	290380.318
489	289819.1873
490	288946.6678
491	287836.6334
492	287056.3051
493	286299.0971
494	286055.841
495	285258.9325
496	284134.8775
497	283929.7451
498	283730.5257
499	282998.7394
500	282567.4468
501	281932.7131
502	281271.17
503	280682.0264
504	280130.9351
505	279301.1191
506	278577.1156
507	277865.319
508	277458.0471
509	276797.1013
510	276274.5608
511	275711.0826
512	275068.1009
513	274542.0156
514	273445.7226
515	272825.4409
516	272266.6232
517	271442.571
518	270755.6802
519	270462.0842
520	270265.2203
521	269995.1595
522	269826.8147
523	269274.404
524	268659.8617
525	268165.9877
526	267364.3521
527	266977.1465
528	266333.5664
529	266016.2165
530	265487.123
531	264651.2337
532	264300.8811
533	263611.1082
534	262690.786
535	262471.8838
536	261918.7884
537	261380.1457
538	260430.387
539	260148.5588
540	259945.4367
541	259258.5045
542	258778.829
543	258588.9344
544	258308.3276
545	257821.4829
546	257244.1422
547	256421.3006
548	256015.2978
549	255494.6704
550	254753.7533
551	254366.6376
552	254075.2381
553	253460.3875
554	252789.8449
555	252199.5096
556	251594.5647
557	250475.9112
558	249945.9114
559	249253.0717
560	248727.4744
561	248217.8991
562	247817.8531
563	246578.7986
564	245792.6336
565	245254.4914
566	244960.2129
567	244689.6195
568	244044.7418
569	243823.1084
570	243314.506
571	243009.4628
572	241965.7386
573	241118.9099
574	240842.7722
575	240230.7525
576	239646.7759
577	239180.093
578	238054.5911
579	237929.6797
580	237096.6637
581	236783.0457
582	236379.6501
583	235756.7073
584	235664.2524
585	235197.1074
586	234243.034
587	233816.5375
588	233307.6387
589	232847.5223
590	232693.8825
591	232240.2497
592	231648.7969
593	231170.9104
594	230117.7495
595	229544.9173
596	228570.6717
597	228327.3396
598	227615.5628
599	227318.4472
600	226706.3299
601	226303.8883
602	226191.0906
603	225999.2131
604	224887.8587
605	224499.5183
606	224177.4827
607	223809.8499
608	223512.5255
609	222804.1148
610	222143.3412
611	221587.4906
612	221504.031
613	221003.7977
614	220723.9089
615	220280.9196
616	220157.9217
617	219195.9483
618	218795.6217
619	218254.4501
620	218176.1942
621	218099.4734
622	217441.6154
623	217246.2793
624	216508.9214
625	216229.161
626	215870.5682
627	215770.6887
628	215292.2067
629	215217.6452
630	214939.1323
631	214197.426
632	213744.2674
633	213207.0421
634	213021.8435
635	212524.3368
636	211983.0999
637	211456.7893
638	210820.7393
639	209935.4336
640	209491.3138
641	209391.6063
642	208558.2413
643	207747.4102
644	207281.221
645	206721.4426
646	206194.6614
647	205889.6014
648	205401.4729
649	205227.6707
650	204748.3412
651	204334.4815
652	203967.344
653	203601.6707
654	203092.1736
655	202707.8337
656	202489.5456
657	202288.4471
658	201708.0886
659	201547.0367
660	201050.9165
661	200255.3807
662	199405.8586
663	198929.1695
664	198507.3772
665	198157.7536
666	198061.7168
667	197528.373
668	196898.4294
669	196243.6169
670	195668.8382
671	195447.6119
672	195017.2423
673	194657.4352
674	194564.7935
675	194475.3101
