iter	Passed	Remaining
0	0	822
1	2	1179
2	3	1072
3	4	996
4	4	942
5	5	907
6	6	881
7	6	864
8	7	851
9	8	837
10	9	826
11	9	816
12	10	806
13	12	853
14	12	845
15	13	838
16	14	832
17	15	843
18	17	884
19	18	923
20	20	953
21	21	976
22	23	1006
23	24	1009
24	28	1109
25	29	1095
26	29	1079
27	30	1066
28	31	1053
29	32	1042
30	32	1031
31	33	1021
32	35	1037
33	37	1052
34	38	1061
35	39	1069
36	41	1080
37	43	1094
38	44	1102
39	46	1108
40	47	1118
41	49	1129
42	51	1135
43	52	1140
44	54	1146
45	55	1151
46	57	1157
47	59	1175
48	61	1187
49	62	1190
50	64	1194
51	65	1198
52	66	1182
53	67	1184
54	69	1190
55	70	1192
56	72	1201
57	75	1221
58	76	1222
59	77	1216
60	78	1211
61	80	1212
62	81	1219
63	83	1225
64	85	1226
65	86	1227
66	88	1228
67	89	1230
68	91	1236
69	93	1237
70	94	1238
71	96	1247
72	98	1249
73	99	1248
74	101	1248
75	102	1243
76	103	1235
77	103	1227
78	104	1219
79	104	1204
80	105	1193
81	105	1186
82	106	1178
83	107	1171
84	108	1164
85	108	1156
86	109	1151
87	110	1144
88	111	1137
89	112	1139
90	114	1141
91	115	1142
92	116	1137
93	118	1138
94	118	1132
95	119	1126
96	120	1120
97	121	1114
98	121	1109
99	122	1103
100	123	1098
101	124	1093
102	125	1094
103	130	1126
104	132	1125
105	133	1126
106	135	1128
107	136	1129
108	138	1133
109	139	1128
110	140	1122
111	140	1117
112	141	1111
113	142	1106
114	143	1101
115	143	1096
116	144	1091
117	145	1086
118	146	1081
119	147	1078
120	148	1079
121	149	1075
122	151	1077
123	151	1072
124	152	1068
125	153	1063
126	154	1059
127	154	1054
128	155	1050
129	156	1045
130	157	1041
131	157	1037
132	158	1033
133	159	1028
134	160	1025
135	161	1025
136	162	1024
137	164	1024
138	166	1028
139	167	1029
140	177	1083
141	180	1092
142	182	1094
143	183	1090
144	184	1085
145	184	1081
146	185	1077
147	186	1072
148	187	1068
149	187	1064
150	188	1060
151	189	1056
152	190	1052
153	190	1048
154	191	1044
155	192	1040
156	193	1038
157	194	1038
158	196	1039
159	198	1040
160	199	1040
161	201	1041
162	213	1095
163	214	1095
164	218	1104
165	218	1097
166	219	1093
167	219	1089
168	220	1085
169	221	1081
170	222	1077
171	222	1070
172	223	1067
173	223	1063
174	224	1059
175	225	1055
176	226	1051
177	226	1047
178	227	1044
179	228	1040
180	229	1036
181	230	1034
182	231	1034
183	233	1034
184	234	1034
185	235	1030
186	236	1027
187	237	1023
188	237	1020
189	238	1016
190	239	1013
191	239	1009
192	240	1006
193	242	1006
194	244	1007
195	245	1005
196	245	1000
197	246	996
198	246	992
199	247	988
200	247	984
201	248	979
202	248	975
203	248	971
204	249	967
205	249	962
206	250	959
207	250	955
208	251	951
209	251	947
210	252	943
211	252	939
212	253	935
213	253	931
214	254	927
215	254	924
216	255	920
217	255	916
218	256	912
219	256	909
220	256	905
221	257	901
222	257	898
223	258	894
224	258	891
225	259	888
226	259	884
227	260	881
228	260	877
229	261	874
230	261	871
231	262	868
232	262	865
233	263	861
234	263	858
235	264	855
236	264	852
237	265	848
238	265	845
239	266	842
240	266	839
241	267	836
242	267	833
243	267	830
244	268	827
245	268	824
246	269	821
247	269	818
248	270	815
249	270	812
250	271	809
251	271	806
252	272	803
253	272	801
254	273	798
255	273	795
256	274	792
257	274	789
258	275	787
259	275	784
260	276	781
261	276	778
262	277	776
263	277	773
264	278	771
265	278	768
266	278	765
267	279	763
268	279	760
269	280	758
270	280	755
271	281	752
272	281	750
273	282	748
274	282	745
